locgrpid,longdes,semester,semester_ident,day_of_week,day_of_week_ident,,time_inter_desc_ident,mean,target
10012,Ritz Sports Zone,spring,3,monday,2,8-Jul,3,4,1
10016,Ctrl Alt Deli,fall,2,monday,2,14-15,10,81,2
10060,Ben and Jerry's,intersession,9,friday,6,20-21,16,33,1
10062,Bytes on the Run,fall,2,thrusday,5,7-Jun,2,1,1
10102,UGRYD On Campus,fall,2,sunday,1,13-14,9,5.8,1
10010,Brick City Cafe,college_closed,0,sunday,1,9-Aug,4,38,1
10010,Brick City Cafe,college_closed,0,sunday,1,10-Sep,5,44,2
10010,Brick City Cafe,college_closed,0,sunday,1,11-Oct,6,7,1
10010,Brick City Cafe,college_closed,0,sunday,1,12-Nov,7,12,1
10010,Brick City Cafe,college_closed,0,sunday,1,13-Dec,8,156,2
10010,Brick City Cafe,college_closed,0,sunday,1,13-14,9,64,2
10010,Brick City Cafe,college_closed,0,monday,2,8-Jul,3,8.285714286,1
10010,Brick City Cafe,college_closed,0,monday,2,9-Aug,4,26.14285714,1
10010,Brick City Cafe,college_closed,0,monday,2,10-Sep,5,24.42857143,1
10010,Brick City Cafe,college_closed,0,monday,2,11-Oct,6,15.57142857,1
10010,Brick City Cafe,college_closed,0,monday,8,12-Nov,7,93.28571429,2
10010,Brick City Cafe,college_closed,0,monday,2,13-Dec,8,224,2
10010,Brick City Cafe,college_closed,0,monday,2,13-14,9,125.7142857,2
10010,Brick City Cafe,college_closed,0,monday,2,14-15,10,3.8,1
10010,Brick City Cafe,college_closed,0,tuesday,3,8-Jul,3,11.375,1
10010,Brick City Cafe,college_closed,0,tuesday,3,9-Aug,4,31,1
10010,Brick City Cafe,college_closed,0,tuesday,3,10-Sep,5,26.5,1
10010,Brick City Cafe,college_closed,0,tuesday,3,11-Oct,6,15.25,1
10010,Brick City Cafe,college_closed,0,tuesday,3,12-Nov,7,133.875,2
10010,Brick City Cafe,college_closed,0,tuesday,3,13-Dec,8,224.75,2
10010,Brick City Cafe,college_closed,0,tuesday,3,13-14,9,123.5,2
10010,Brick City Cafe,college_closed,0,tuesday,3,14-15,10,3.166666667,1
10010,Brick City Cafe,college_closed,0,wednesday,4,7-Jun,2,1,1
10010,Brick City Cafe,college_closed,0,wednesday,4,8-Jul,3,9,1
10010,Brick City Cafe,college_closed,0,wednesday,4,9-Aug,4,34.125,1
10010,Brick City Cafe,college_closed,0,wednesday,4,10-Sep,5,26.5,1
10010,Brick City Cafe,college_closed,0,wednesday,4,11-Oct,6,19.875,1
10010,Brick City Cafe,college_closed,0,wednesday,4,12-Nov,7,95.875,2
10010,Brick City Cafe,college_closed,0,wednesday,4,13-Dec,8,215.75,2
10010,Brick City Cafe,college_closed,0,wednesday,4,13-14,9,119.75,2
10010,Brick City Cafe,college_closed,0,wednesday,4,14-15,10,3.714285714,1
10010,Brick City Cafe,college_closed,0,thrusday,5,7-Jun,2,1,1
10010,Brick City Cafe,college_closed,0,thrusday,5,8-Jul,3,9.375,1
10010,Brick City Cafe,college_closed,0,thrusday,5,9-Aug,4,32.5,1
10010,Brick City Cafe,college_closed,0,thrusday,5,10-Sep,5,23.75,1
10010,Brick City Cafe,college_closed,0,thrusday,5,11-Oct,6,13.125,1
10010,Brick City Cafe,college_closed,0,thrusday,5,12-Nov,7,93.5,2
10010,Brick City Cafe,college_closed,0,thrusday,5,13-Dec,8,192.25,2
10010,Brick City Cafe,college_closed,0,thrusday,5,13-14,9,114.75,2
10010,Brick City Cafe,college_closed,0,thrusday,5,14-15,10,5.571428571,1
10010,Brick City Cafe,college_closed,0,friday,6,7-Jun,2,1,1
10010,Brick City Cafe,college_closed,0,friday,6,8-Jul,3,9.833333333,1
10010,Brick City Cafe,college_closed,0,friday,6,9-Aug,4,33.83333333,1
10010,Brick City Cafe,college_closed,0,friday,6,10-Sep,5,26.33333333,1
10010,Brick City Cafe,college_closed,0,friday,6,11-Oct,6,19.5,1
10010,Brick City Cafe,college_closed,0,friday,6,12-Nov,7,89.83333333,2
10010,Brick City Cafe,college_closed,0,friday,6,13-Dec,8,196,2
10010,Brick City Cafe,college_closed,0,friday,6,13-14,9,107.8333333,2
10010,Brick City Cafe,college_closed,0,friday,6,14-15,10,3.8,1
10010,Brick City Cafe,college_closed,0,saturday,7,8-Jul,3,1,1
10010,Brick City Cafe,college_closed,0,saturday,7,9-Aug,4,14,1
10010,Brick City Cafe,college_closed,0,saturday,7,10-Sep,5,10,1
10010,Brick City Cafe,college_closed,0,saturday,7,11-Oct,6,25,1
10010,Brick City Cafe,college_closed,0,saturday,7,12-Nov,7,28,1
10010,Brick City Cafe,college_closed,0,saturday,7,13-Dec,8,132,2
10010,Brick City Cafe,college_closed,0,saturday,7,13-14,9,102,2
10010,Brick City Cafe,college_closed,0,saturday,7,14-15,10,59,2
10010,Brick City Cafe,college_closed,0,saturday,7,15-16,11,9,1
10010,Brick City Cafe,fall,2,monday,2,7-Jun,2,1,1
10010,Brick City Cafe,fall,2,monday,2,8-Jul,3,99.66666667,2
10010,Brick City Cafe,fall,2,monday,2,9-Aug,4,130.2666667,2
10010,Brick City Cafe,fall,2,monday,2,10-Sep,5,207.0666667,2
10010,Brick City Cafe,fall,2,monday,2,11-Oct,6,155.5333333,2
10010,Brick City Cafe,fall,2,monday,2,12-Nov,7,328.4666667,2
10010,Brick City Cafe,fall,2,monday,2,13-Dec,8,420.5333333,3
10010,Brick City Cafe,fall,2,monday,2,13-14,9,345.7333333,3
10010,Brick City Cafe,fall,2,monday,2,14-15,10,14.26666667,1
10010,Brick City Cafe,fall,2,tuesday,3,7-Jun,2,1,1
10010,Brick City Cafe,fall,2,tuesday,3,8-Jul,3,81.93333333,2
10010,Brick City Cafe,fall,2,tuesday,3,9-Aug,4,120.7333333,2
10010,Brick City Cafe,fall,2,tuesday,3,10-Sep,5,250.0666667,2
10010,Brick City Cafe,fall,2,tuesday,3,11-Oct,6,172.8666667,2
10010,Brick City Cafe,fall,2,tuesday,3,12-Nov,7,275.9333333,2
10010,Brick City Cafe,fall,2,tuesday,3,13-Dec,8,501.6666667,3
10010,Brick City Cafe,fall,2,tuesday,3,13-14,9,318.8,2
10010,Brick City Cafe,fall,2,tuesday,3,14-15,10,17.73333333,1
10010,Brick City Cafe,fall,2,wednesday,4,8-Jul,3,101.625,2
10010,Brick City Cafe,fall,2,wednesday,4,9-Aug,4,152.125,2
10010,Brick City Cafe,fall,2,wednesday,4,10-Sep,5,212.625,2
10010,Brick City Cafe,fall,2,wednesday,4,11-Oct,6,169.9375,2
10010,Brick City Cafe,fall,2,wednesday,4,12-Nov,7,359.625,3
10010,Brick City Cafe,fall,2,wednesday,4,13-Dec,8,453.1875,3
10010,Brick City Cafe,fall,2,wednesday,4,13-14,9,370.25,3
10010,Brick City Cafe,fall,2,wednesday,4,14-15,10,20.06666667,1
10010,Brick City Cafe,fall,2,thrusday,5,7-Jun,2,1.5,1
10010,Brick City Cafe,fall,2,thrusday,5,8-Jul,3,82.86666667,2
10010,Brick City Cafe,fall,2,thrusday,5,9-Aug,4,115.2,2
10010,Brick City Cafe,fall,2,thrusday,5,10-Sep,5,262.4,2
10010,Brick City Cafe,fall,2,thrusday,5,11-Oct,6,174,2
10010,Brick City Cafe,fall,2,thrusday,5,12-Nov,7,322.8666667,2
10010,Brick City Cafe,fall,2,thrusday,5,13-Dec,8,565.0666667,3
10010,Brick City Cafe,fall,2,thrusday,5,13-14,9,346.1333333,3
10010,Brick City Cafe,fall,2,thrusday,5,14-15,10,16.53333333,1
10010,Brick City Cafe,fall,2,friday,6,8-Jul,3,92.42857143,2
10010,Brick City Cafe,fall,2,friday,6,9-Aug,4,141.3571429,2
10010,Brick City Cafe,fall,2,friday,6,10-Sep,5,225.9333333,2
10010,Brick City Cafe,fall,2,friday,6,11-Oct,6,141.7333333,2
10010,Brick City Cafe,fall,2,friday,6,12-Nov,7,256.4,2
10010,Brick City Cafe,fall,2,friday,6,13-Dec,8,354.8666667,3
10010,Brick City Cafe,fall,2,friday,6,13-14,9,311.4666667,2
10010,Brick City Cafe,fall,2,friday,6,14-15,10,16.73333333,1
10010,Brick City Cafe,fall,2,friday,6,15-16,11,1,1
10010,Brick City Cafe,fall,2,saturday,7,9-Aug,4,14,1
10010,Brick City Cafe,fall,2,saturday,7,10-Sep,5,18,1
10010,Brick City Cafe,fall,2,saturday,7,11-Oct,6,19,1
10010,Brick City Cafe,fall,2,saturday,7,12-Nov,7,58,2
10010,Brick City Cafe,fall,2,saturday,7,13-Dec,8,90,2
10010,Brick City Cafe,fall,2,saturday,7,13-14,9,92,2
10010,Brick City Cafe,fall,2,saturday,7,14-15,10,9,1
10010,Brick City Cafe,finals(fall),4,tuesday,3,8-Jul,3,83,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,9-Aug,4,130,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,10-Sep,5,170,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,11-Oct,6,106,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,12-Nov,7,209,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,13-Dec,8,324,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,13-14,9,185,2
10010,Brick City Cafe,finals(fall),4,tuesday,3,14-15,10,3,1
10010,Brick City Cafe,finals(fall),4,wednesday,4,8-Jul,3,88,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,9-Aug,4,92,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,10-Sep,5,169,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,11-Oct,6,101,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,12-Nov,7,189,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,13-Dec,8,223,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,13-14,9,228,2
10010,Brick City Cafe,finals(fall),4,wednesday,4,14-15,10,7,1
10010,Brick City Cafe,finals(fall),4,thrusday,5,8-Jul,3,73,2
10010,Brick City Cafe,finals(fall),4,thrusday,5,9-Aug,4,90,2
10010,Brick City Cafe,finals(fall),4,thrusday,5,10-Sep,5,155,2
10010,Brick City Cafe,finals(fall),4,thrusday,5,11-Oct,6,75,2
10010,Brick City Cafe,finals(fall),4,thrusday,5,12-Nov,7,184,2
